accelX,accelY,accelZ
0.49,-0.61,-0.06
0.49,-0.67,-0.06
0.49,-0.61,-0.06
0.49,-0.61,-0.06
0.49,-0.61,-0.06
0.55,-0.61,-0.06
0.55,-0.61,-0.06
0.49,-0.61,-0.06
0.55,-0.55,-0.06
0.49,-0.67,-0.06
0.49,-0.55,0.00
0.55,-0.67,-0.06
0.43,-0.55,-0.06
0.49,-0.61,-0.06
0.49,-0.67,-0.06
0.49,-0.61,0.00
0.49,-0.67,-0.06
0.55,-0.67,-0.06
0.55,-0.61,-0.06
0.49,-0.55,-0.06
0.49,-0.61,-0.06
0.43,-0.55,-0.06
0.49,-0.61,-0.06
0.49,-0.61,-0.06
0.49,-0.61,0.00
0.49,-0.61,-0.12
0.55,-0.67,-0.12
0.55,-0.61,-0.06
0.49,-0.73,-0.06
0.49,-0.67,-0.12
0.43,-0.61,-0.06
0.49,-0.61,-0.06
0.49,-0.73,-0.06
0.55,-0.73,-0.06
0.55,-0.67,-0.06
0.55,-0.73,-0.06
0.55,-0.73,-0.12
0.49,-0.61,-0.12
0.55,-0.73,-0.12
0.55,-0.67,-0.12
0.55,-0.73,-0.06
0.55,-0.73,0.00
0.49,-0.73,0.00
0.49,-0.61,-0.06
0.49,-0.67,-0.06
0.49,-0.67,-0.06
0.49,-0.67,0.00
0.43,-0.61,-0.06
0.49,-0.67,0.00
0.49,-0.67,-0.12
0.55,-0.79,0.00
0.49,-0.55,-0.06
0.49,-0.61,-0.12
0.49,-0.79,-0.06
0.49,-0.67,-0.12
0.43,-0.61,-0.12
0.49,-0.73,-0.06
0.49,-0.55,-0.06
0.49,-0.67,0.00
0.49,-0.67,-0.06
0.49,-0.67,-0.12
0.49,-0.61,-0.06
0.49,-0.67,-0.06
0.49,-0.61,-0.06
0.49,-0.61,-0.06
0.55,-0.67,-0.06
0.49,-0.55,-0.06
0.49,-0.73,0.00
0.49,-0.67,-0.12
0.31,-0.37,0.06
0.49,-0.43,-0.12
0.55,-0.73,0.00
0.55,-0.73,-0.12
0.49,-0.61,-0.06
0.49,-0.67,-0.12
0.61,-0.79,-0.12
0.73,-1.10,-0.06
0.55,-0.37,0.06
0.31,-0.85,0.61
0.55,-0.73,-0.43
0.49,-0.55,-0.18
0.49,-0.61,-0.24
0.43,-0.49,-0.18
0.49,-0.55,-0.12
0.49,-0.61,-0.12
0.49,-0.67,-0.12
0.49,-0.67,0.00
0.55,-0.79,-0.12
0.55,-0.61,-0.18
0.55,-0.61,-0.06
0.49,-0.61,-0.12
0.55,-0.67,-0.06
0.55,-0.67,-0.06
0.55,-0.67,-0.06
